UUID;OBJEKTART;OBJEKTKLASSE_TLM;KUNSTBAUTE;NAME_UUID;NAME;STATUS;SPRACHCODE;NAMEN_TYP;NAMENGRUPPE_UUID;E;N;Z
{27AFAA4C-1256-4A2A-8A62-9B21F7FD5563};Skilift;TLM_UEBRIGE_BAHN;k_W;{D3BEB480-48BC-4642-BFAC-CE6F7ABF9E03};Eraisis;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2575004;1140828;1513
{2BB9CFD4-C528-48EA-81E9-279C6C024A48};Skilift;TLM_UEBRIGE_BAHN;k_W;{609A87C8-D0C8-46FF-820D-5DB49DA39BD3};Mossette;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2575562;1141046;1565
{55DDE9DE-BB5E-4E89-8B59-D508CBAF0452};Skilift;TLM_UEBRIGE_BAHN;k_W;{2F95F431-3C61-4E7E-A088-23920025ADB3};Les Coullayes-Les Cases;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2574166;1144399;1057
{1CDA6578-608C-4BB6-965E-0FF5DDE3A9C6};Skilift;TLM_UEBRIGE_BAHN;k_W;{BD80C8F2-6F7F-42D6-9B13-7D51CC13C936};Les Moulins-Les Coullayes;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2574565;1145052;939
{5E36BF4E-45EC-4E26-A52B-7494731E1EDD};Skilift;TLM_UEBRIGE_BAHN;k_W;{067CC28D-8CD0-45F5-AED1-0C4FFB6C2033};Le Grin;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2576498;1144547;1477
{44AE4367-27E8-4ED2-8B5B-DD453DBA796C};Skilift;TLM_UEBRIGE_BAHN;k_W;{73E8B9EF-73F6-4153-B17C-5CA5AD190AFE};La Montagnette;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2577466;1144313;1550
{B7FFB669-0D44-4244-B57A-D84E0B99E62A};Skilift;TLM_UEBRIGE_BAHN;k_W;{07A8B919-7CC2-46A6-82CE-0FCEF8F8F449};Parchets I;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2572658;1137846;1649
{05C26169-7492-4148-A474-BC01F521335A};Skilift;TLM_UEBRIGE_BAHN;k_W;{55D630A2-282C-4664-84BB-C50AD54AAE04};Pra Cornet;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2574973;1139918;1543
{816FA9D6-0C02-4EF3-9AE2-D5C3974FBF18};Skilift;TLM_UEBRIGE_BAHN;k_W;{F70BACFF-2DF9-443E-95EA-64C099B0BB96};Les Cases-Monts Chevreuils;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2573400;1143515;1404
{91EDE8D5-870D-4937-9ED1-8060F2A2E144};Skilift;TLM_UEBRIGE_BAHN;k_W;{2D17DE66-C9C0-48EE-8254-4BBDD175E1F9};Isenau;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2580708;1134721;1819
{F12EF69D-4E3E-4B43-8BE7-2A8322F39216};Skilift;TLM_UEBRIGE_BAHN;k_W;{4396A694-05E7-4DF4-A33E-AC8B07AA917C};La Crua;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2580454;1134941;1760
{01DDE972-2D5D-4AAD-B8FC-6CE918C90E4D};Skilift;TLM_UEBRIGE_BAHN;k_W;{413B1390-FB4D-4D36-BBDE-3FA84B72A340};Ayerne;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2580033;1134708;1700
{85768199-216C-4184-B98C-B9BEA1561294};Skilift;TLM_UEBRIGE_BAHN;k_W;{DFC2D195-19E8-46E2-A990-1DE538B7F4AF};Bois - Chenau;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2577897;1144924;1380
{36CBF7B8-6C8A-4EB4-AFA4-EEC2DCA78B36};Luftseilbahn;TLM_UEBRIGE_BAHN;k_W;{FD97DE26-BF73-4955-8571-E4625098155D};Château-d'Oex - Pra-Perron;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2576930;1146351;906
{E215074D-AB1B-4117-92C3-E9367AB7C34D};Sesselbahn;TLM_UEBRIGE_BAHN;k_W;{3D397F2B-126D-4407-8212-6202058B6958};Pra-Perron - La Montagnette (La Braye);offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2577368;1144830;1392
{82407420-4611-4CA2-9B9C-E2A563BCDBB9};Skilift;TLM_UEBRIGE_BAHN;k_W;{F1B006A2-2B35-4C30-BB59-C06CAA2C5A6B};Vers l'Eglise;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2576314;1133102;1292
{CE39CE83-C9CE-4822-AAEE-618248821F00};Luftseilbahn;TLM_UEBRIGE_BAHN;k_W;{71B67AE1-F148-4164-BBD1-EDE9D27AE292};Col du Pillon - Cabane;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2582403;1132887;1868
